n_features,accept_raw_p,accept_bonferroni,accept_smd,p_any_sig
5,0.72,0.93,0.08,0.28
10,0.57,0.935,0.015,0.43
20,0.385,0.97,0.0,0.615
50,0.065,0.97,0.0,0.935
